"SIC87_4","Desc_4_Digit","SIC87_2","Desc_2_Digit","SIC87_1","Desc_1_Digit"
"2034","Dried and Dehydrated Fruits, Vegetables, and","20","Food and kindred products","D","Manufacturing"
"2035","Pickled Fruits and Vegetables, Vegetable","20","Food and kindred products","D","Manufacturing"
"2037","Frozen Fruits, Fruit Juices, and Vegetables","20","Food and kindred products","D","Manufacturing"
"2038","Frozen Specialties, NEC","20","Food and kindred products","D","Manufacturing"
"2041","Flour and Other Grain Mill Products","20","Food and kindred products","D","Manufacturing"
"2043","Cereal Breakfast Foods","20","Food and kindred products","D","Manufacturing"
"2044","Rice Milling","20","Food and kindred products","D","Manufacturing"
"2045","Prepared Flour Mixes and Doughs","20","Food and kindred products","D","Manufacturing"
"2046","Wet Corn Milling","20","Food and kindred products","D","Manufacturing"
"2047","Dog and Cat Food","20","Food and kindred products","D","Manufacturing"
"2048","Prepared Feed and Feed Ingredients for","20","Food and kindred products","D","Manufacturing"
"2051","Bread and Other Bakery Products, Except","20","Food and kindred products","D","Manufacturing"
"2052","Cookies and Crackers","20","Food and kindred products","D","Manufacturing"
"2053","Frozen Bakery Products, Except Bread","20","Food and kindred products","D","Manufacturing"
"2061","Cane Sugar, Except Refining","20","Food and kindred products","D","Manufacturing"
"2062","Cane Sugar Refining","20","Food and kindred products","D","Manufacturing"
"2063","Beet Sugar","20","Food and kindred products","D","Manufacturing"
"2064","Candy and Other Confectionery Products","20","Food and kindred products","D","Manufacturing"
"2066","Chocolate and Cocoa Products","20","Food and kindred products","D","Manufacturing"
"2067","Chewing Gum","20","Food and kindred products","D","Manufacturing"
"2068","Salted and Roasted Nuts and Seeds","20","Food and kindred products","D","Manufacturing"
"2074","Cottonseed Oil Mills","20","Food and kindred products","D","Manufacturing"
"2075","Soybean Oil Mills","20","Food and kindred products","D","Manufacturing"
"2076","Vegetable Oil Mills, Except Corn, Cottonseed,","20","Food and kindred products","D","Manufacturing"
"2077","Animal and Marine Fats and Oils","20","Food and kindred products","D","Manufacturing"
"2079","Shortening, Table Oils, Margarine, and Other","20","Food and kindred products","D","Manufacturing"
"2082","Malt Beverages","20","Food and kindred products","D","Manufacturing"
"2083","Malt","20","Food and kindred products","D","Manufacturing"
"2084","Wines, Brandy, and Brandy Spirits","20","Food and kindred products","D","Manufacturing"
"2085","Distilled and Blended Liquors","20","Food and kindred products","D","Manufacturing"
"2086","Bottled and Canned Soft Drinks and Carbonated","20","Food and kindred products","D","Manufacturing"
"2087","Flavoring Extracts and Flavoring Syrups NEC","20","Food and kindred products","D","Manufacturing"
"2091","Canned and Cured Fish and Seafood","20","Food and kindred products","D","Manufacturing"
"2092","Prepared Fresh or Frozen Fish and Seafoods","20","Food and kindred products","D","Manufacturing"
"2095","Roasted Coffee","20","Food and kindred products","D","Manufacturing"
"2096","Potato Chips, Corn Chips, and Similar Snacks","20","Food and kindred products","D","Manufacturing"
"2097","Manufactured Ice","20","Food and kindred products","D","Manufacturing"
"2098","Macaroni, Spaghetti, Vermicelli, and Noodles","20","Food and kindred products","D","Manufacturing"
"2099","Food Preparations, NEC","20","Food and kindred products","D","Manufacturing"
"2111","Cigarettes","21","Tobacco manufactures","D","Manufacturing"
"2121","Cigars","21","Tobacco manufactures","D","Manufacturing"
"2131","Chewing and Smoking Tobacco and Snuff","21","Tobacco manufactures","D","Manufacturing"
"2141","Tobacco Stemming and Redrying","21","Tobacco manufactures","D","Manufacturing"
"2211","Broadwoven Fabric Mills, Cotton","22","Textile mill products","D","Manufacturing"
"2221","Broadwoven Fabric Mills, Manmade Fiber and","22","Textile mill products","D","Manufacturing"
"2231","Broadwoven Fabric Mills, Wool (Including","22","Textile mill products","D","Manufacturing"
"2241","Narrow  Fabric and Other Smallware Mills:","22","Textile mill products","D","Manufacturing"
"2251","Women's Full-Length and Knee-Length Hosiery,","22","Textile mill products","D","Manufacturing"
"2252","Hosiery, NEC","22","Textile mill products","D","Manufacturing"
"2253","Knit Outerwear Mills","22","Textile mill products","D","Manufacturing"
"2254","Knit Underwear and Nightwear Mills","22","Textile mill products","D","Manufacturing"
"2257","Weft Knit Fabric Mills","22","Textile mill products","D","Manufacturing"
"2258","Lace and Warp Knit Fabric Mills","22","Textile mill products","D","Manufacturing"
"2259","Knitting Mills, NEC","22","Textile mill products","D","Manufacturing"
"2261","Finishers of Broadwoven Fabrics of Cotton","22","Textile mill products","D","Manufacturing"
"2262","Finishers of Broadwoven Fabrics of Manmade","22","Textile mill products","D","Manufacturing"
"2269","Finishers of Textiles, NEC","22","Textile mill products","D","Manufacturing"
"2273","Carpets and Rugs","22","Textile mill products","D","Manufacturing"
"2281","Yarn Spinning Mills","22","Textile mill products","D","Manufacturing"
"2282","Yarn Texturizing, Throwing, Twisting, and","22","Textile mill products","D","Manufacturing"
"2284","Thread Mills","22","Textile mill products","D","Manufacturing"
"2295","Coated Fabrics, Not Rubberized","22","Textile mill products","D","Manufacturing"
"2296","Tire Cord and Fabrics","22","Textile mill products","D","Manufacturing"
"2297","Nonwoven Fabrics","22","Textile mill products","D","Manufacturing"
"2298","Cordage and Twine","22","Textile mill products","D","Manufacturing"
"2299","Textile Goods, NEC","22","Textile mill products","D","Manufacturing"
"2311","Men's and Boys' Suits, Coats, and Overcoats","23","Apparel and other textile products","D","Manufacturing"
"2321","Men's and Boys' Shirts, Except Work Shirts","23","Apparel and other textile products","D","Manufacturing"
"2322","Men's and Boys' Underwear and Nightwear","23","Apparel and other textile products","D","Manufacturing"
"2323","Men's and Boys' Neckwear","23","Apparel and other textile products","D","Manufacturing"
"2325","Men's and Boys' Trousers and Slacks","23","Apparel and other textile products","D","Manufacturing"
"2326","Men's and Boys' Work Clothing","23","Apparel and other textile products","D","Manufacturing"
"2329","Men's and Boys' Clothing, NEC","23","Apparel and other textile products","D","Manufacturing"
"2331","Women's, Misses', and Juniors' Blouses and","23","Apparel and other textile products","D","Manufacturing"
"2335","Women's, Misses', and Juniors' Dresses","23","Apparel and other textile products","D","Manufacturing"
"2337","Women's, Misses' and Juniors' Suits, Skirts,","23","Apparel and other textile products","D","Manufacturing"
"2339","Women's, Misses', and Juniors' Outerwear, NEC","23","Apparel and other textile products","D","Manufacturing"
"2341","Women's, Misses', Children's, and Infants'","23","Apparel and other textile products","D","Manufacturing"
"2342","Brassieres, Girdles, and Allied Garments","23","Apparel and other textile products","D","Manufacturing"
"2353","Hats, Caps, and Millinery","23","Apparel and other textile products","D","Manufacturing"
"2361","Girls', Children's, and Infants' Dresses,","23","Apparel and other textile products","D","Manufacturing"
"2369","Girls', Children's, and Infants' Outerwear,","23","Apparel and other textile products","D","Manufacturing"
"2371","Fur Goods","23","Apparel and other textile products","D","Manufacturing"
"2381","Dress and Work Gloves, Except Knit and","23","Apparel and other textile products","D","Manufacturing"
"2384","Robes and Dressing Gowns","23","Apparel and other textile products","D","Manufacturing"
"2385","Waterproof Outerwear","23","Apparel and other textile products","D","Manufacturing"
"2386","Leather and Sheep-Lined Clothing","23","Apparel and other textile products","D","Manufacturing"
"2387","Apparel Belts","23","Apparel and other textile products","D","Manufacturing"
"2389","Apparel and Accessories, NEC","23","Apparel and other textile products","D","Manufacturing"
"2391","Curtains and Draperies","23","Apparel and other textile products","D","Manufacturing"
"2392","Housefurnishings, Except Curtains and","23","Apparel and other textile products","D","Manufacturing"
